accuracy,precision_entailment,precision_neutral,precision_contradiction,recall_entailment,recall_neutral,recall_contradiction,f1_entailment,f1_neutral,f1_contradiction,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc,experiment,predict_dataset,trained_dataset
0.3336764705882353,0.0,0.3336764705882353,0.0,0.0,1.0,0.0,0.0,0.5003859300915205,0.0,0.11122549019607843,0.3333333333333333,0.16679531003050685,0.3336764705882353,0.3336764705882353,0.3336764705882353,0.11133998702422145,0.3336764705882353,0.16696701108495002,,baseline-1,ANLI,ANLI
0.3346691176470588,0.3344759491784344,0.3490304709141274,0.0,0.9871343743127337,0.013882767739092111,0.0,0.49965213035371386,0.026703401504715483,0.0,0.22783547336418727,0.3336723806839419,0.17545184395280977,0.3346691176470588,0.3346691176470588,0.3346691176470588,0.22829135425901848,0.3346691176470588,0.17596310829020118,,baseline-1,ANLI,MNLI
0.33433823529411766,0.33433823529411766,0.0,0.0,1.0,0.0,0.0,0.5011296633052296,0.0,0.0,0.11144607843137255,0.3333333333333333,0.1670432211017432,0.33433823529411766,0.33433823529411766,0.33433823529411766,0.11178205557958477,0.33433823529411766,0.1675468072830058,,baseline-1,ANLI,SNLI
0.318246541903987,0.0,0.318246541903987,0.0,0.0,1.0,0.0,0.0,0.4828331147288018,0.0,0.10608218063466233,0.3333333333333333,0.16094437157626726,0.318246541903987,0.318246541903987,0.318246541903987,0.10128086143384614,0.318246541903987,0.15365996907917218,,baseline-1,MNLI,ANLI
0.35211554109031734,0.3521986970684039,0.25,0.0,0.9991336991048224,0.0006391818472355385,0.0,0.5208098141040114,0.001275103602167676,0.0,0.2007328990228013,0.33325762698401934,0.17402830590205967,0.35211554109031734,0.35211554109031734,0.35211554109031734,0.2036120919393697,0.35211554109031734,0.1838439977027435,,baseline-1,MNLI,MNLI
0.3522172497965826,0.3522172497965826,0.0,0.0,1.0,0.0,0.0,0.520947724708537,0.0,0.0,0.1174057499321942,0.3333333333333333,0.17364924156951234,0.3522172497965826,0.3522172497965826,0.3522172497965826,0.12405699105426826,0.3522172497965826,0.1834867748846281,,baseline-1,MNLI,SNLI
0.3276669381107492,0.0,0.3276669381107492,0.0,0.0,1.0,0.0,0.0,0.49359809859694853,0.0,0.10922231270358307,0.3333333333333333,0.16453269953231617,0.3276669381107492,0.3276669381107492,0.3276669381107492,0.10736562233087354,0.3276669381107492,0.1617357776245498,,baseline-1,SNLI,ANLI
0.34283387622149836,0.3428367783321454,0.3333333333333333,0.0,0.9997030878859857,0.00031065548306927616,0.0,0.5105769959814997,0.0006207324643078833,0.0,0.22539003722182624,0.3333379144563517,0.17039924281526922,0.34283387622149836,0.34283387622149836,0.34283387622149836,0.2267583743304831,0.34283387622149836,0.17524648414783167,,baseline-1,SNLI,MNLI
0.34283387622149836,0.34283387622149836,0.0,0.0,1.0,0.0,0.0,0.5106124924196482,0.0,0.0,0.11427795874049945,0.3333333333333333,0.17020416413988274,0.34283387622149836,0.34283387622149836,0.34283387622149836,0.11753506668505767,0.34283387622149836,0.17505526002334845,,baseline-1,SNLI,SNLI
0.3592279411764706,0.35247978761916254,0.36412579607379686,0.354155350353069,0.3212007917308115,0.6110621419127369,0.1444075304540421,0.3361141476324722,0.4563294524211133,0.20516047828823158,0.35692031134867613,0.3588901546991969,0.3325346927806057,0.3592279411764706,0.3592279411764706,0.3592279411764706,0.35692204880377415,0.3592279411764706,0.3327524738120021,0.5191758732366744,baseline-2,ANLI,ANLI
0.32823529411764707,0.3372972972972973,0.31503529659677587,0.3326254313777542,0.377391686826479,0.32944028206258263,0.2775193798449612,0.35621983496808346,0.32207680292992946,0.3025839169282782,0.3283193417572758,0.32811711624467427,0.32696018494209705,0.32823529411764707,0.32823529411764707,0.32823529411764707,0.32831800069393674,0.32823529411764707,0.3270207725166964,0.4960863076094835,baseline-2,ANLI,MNLI
0.3286764705882353,0.3361669242658423,0.32950564421954065,0.32087745839636916,0.19133494611831978,0.5596077567210225,0.23488372093023255,0.24386825508058865,0.4147815434871376,0.271227621483376,0.3288500089605841,0.32860880792319164,0.30995914001703406,0.3286764705882353,0.3286764705882353,0.3286764705882353,0.32886833402681376,0.3286764705882353,0.30998090523481686,0.4964601888575419,baseline-2,ANLI,SNLI
0.3465215622457282,0.3713450292397661,0.32946938775510204,0.38080731150038083,0.2567138319376263,0.6449344838606583,0.15432098765432098,0.30356837971657846,0.43613572509185217,0.21963540522732264,0.360540576165083,0.3519897678175352,0.3197798366785844,0.3465215622457282,0.3465215622457282,0.3465215622457282,0.36113641576528255,0.3465215622457282,0.3180985247871686,0.513937739012814,baseline-2,MNLI,ANLI
0.370626525630594,0.3734905925301881,0.3474793506123611,0.3963768115942029,0.3840600635287323,0.3899009268136785,0.3376543209876543,0.3787015945330296,0.3674698795180723,0.36466666666666664,0.37244891824558407,0.3705384371100217,0.37027938023925616,0.370626525630594,0.370626525630594,0.370626525630594,0.37275444259187723,0.370626525630594,0.3705021231570311,0.5278011666513778,baseline-2,MNLI,MNLI
0.350386493083808,0.3801110550227158,0.3293269230769231,0.3818450912678836,0.2174415246895755,0.6129753914988815,0.2388888888888889,0.2766348273328435,0.4284597341673182,0.29390544902221377,0.3637610231225075,0.35643526835911526,0.3330000035074585,0.350386493083808,0.350386493083808,0.350386493083808,0.36452060837665784,0.350386493083808,0.3306438740942991,0.5172823083367526,baseline-2,MNLI,SNLI
